title,company,location,link,source,date_scraped,is_remote
data analyst,the walt disney studios,"burbank, ca",https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-studios-4286906003,LinkedIn,2025-08-17,0
"data scientist, staffing- data & analytics (seattle)",starbucks,"seattle, wa",https://www.linkedin.com/jobs/view/data-scientist-staffing-data-analytics-seattle-at-starbucks-4286477852,LinkedIn,2025-08-17,0
data analyst (100% remote),lensa,united states,https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-at-lensa-4287714704,LinkedIn,2025-08-17,0
software engineer - all levels,glossgenius,"new york, ny",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286961888,LinkedIn,2025-08-17,0
data analyst internship,connectprep,"boston, ma",https://www.linkedin.com/jobs/view/data-analyst-internship-at-connectprep-4287261191,LinkedIn,2025-08-17,0
data entry analysts,lensa,"houston, tx",https://www.linkedin.com/jobs/view/data-entry-analysts-at-lensa-4287297084,LinkedIn,2025-08-17,0
software engineer - all levels,glossgenius,"san francisco, ca",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286968047,LinkedIn,2025-08-17,0
"software engineer, search platform",notion,"new york, ny",https://www.linkedin.com/jobs/view/software-engineer-search-platform-at-notion-4287205371,LinkedIn,2025-08-17,0
data analyst internship,connectprep,"san francisco, ca",https://www.linkedin.com/jobs/view/data-analyst-internship-at-connectprep-4287262063,LinkedIn,2025-08-17,0
ai engineer genai & llms,scribble,"philadelphia, pa",https://www.linkedin.com/jobs/view/ai-engineer-genai-llms-at-scribble-4287447979,LinkedIn,2025-08-17,0
junior data analyst,lensa,"arlington, va",https://www.linkedin.com/jobs/view/junior-data-analyst-at-lensa-4287290685,LinkedIn,2025-08-17,0
jr. python developer,pioneer consulting services llc,"iowa, united states",https://www.linkedin.com/jobs/view/jr-python-developer-at-pioneer-consulting-services-llc-4287483069,LinkedIn,2025-08-17,0
associate data analyst,the walt disney studios,"burbank, ca",https://www.linkedin.com/jobs/view/associate-data-analyst-at-the-walt-disney-studios-4286900709,LinkedIn,2025-08-17,0
data analyst,tv 1908 gladenbach,united states,https://www.linkedin.com/jobs/view/data-analyst-at-tv-1908-gladenbach-4286899394,LinkedIn,2025-08-17,0
"software engineer, search platform",notion,"san francisco, ca",https://www.linkedin.com/jobs/view/software-engineer-search-platform-at-notion-4287207142,LinkedIn,2025-08-17,0
